Change Component Designator: OldDesignator=DB1_Conn1_1 NewDesignator=DB1_Conn2
Change Component Designator: OldDesignator=DB1_Conn1_2 NewDesignator=DB1_Conn3
Change Component Designator: OldDesignator=DB1_Conn1_3 NewDesignator=DB1_Conn4
Change Component Designator: OldDesignator=DB1_Conn1_4 NewDesignator=DB1_Conn5
Change Component Designator: OldDesignator=DB1_Conn1_5 NewDesignator=DB1_Conn6
Change Component Designator: OldDesignator=DB1_Conn1_6 NewDesignator=DB1_Conn7
Change Component Designator: OldDesignator=DB1_Conn1_7 NewDesignator=DB1_Conn8
Change Component Designator: OldDesignator=DB2_Conn1_1 NewDesignator=DB2_Conn2
Change Component Designator: OldDesignator=DB2_Conn1_2 NewDesignator=DB2_Conn3
Change Component Designator: OldDesignator=DB2_Conn1_3 NewDesignator=DB2_Conn4
Change Component Designator: OldDesignator=DB2_Conn1_4 NewDesignator=DB2_Conn5
Change Component Designator: OldDesignator=DB2_Conn1_5 NewDesignator=DB2_Conn6
Change Component Designator: OldDesignator=DB2_Conn1_6 NewDesignator=DB2_Conn7
Change Component Designator: OldDesignator=DB2_Conn1_7 NewDesignator=DB2_Conn8
Change Component Designator: OldDesignator=J1_Conn1_1 NewDesignator=J1_Conn2
Change Component Designator: OldDesignator=J1_Conn1_2 NewDesignator=J1_Conn3
Change Component Designator: OldDesignator=J1_Conn1_3 NewDesignator=J1_Conn4
Change Component Designator: OldDesignator=J1_Conn1_4 NewDesignator=J1_Conn5
Change Component Designator: OldDesignator=J1_Conn1_5 NewDesignator=J1_Conn6
Change Component Designator: OldDesignator=J1_Conn1_6 NewDesignator=J1_Conn7
Change Component Designator: OldDesignator=J1_Conn1_7 NewDesignator=J1_Conn8
Change Component Designator: OldDesignator=RJ1_Conn1_1 NewDesignator=RJ1_Conn2
Change Component Designator: OldDesignator=RJ1_Conn1_2 NewDesignator=RJ1_Conn3
Change Component Designator: OldDesignator=RJ1_Conn1_3 NewDesignator=RJ1_Conn4
Change Component Designator: OldDesignator=RJ1_Conn1_4 NewDesignator=RJ1_Conn5
Change Component Designator: OldDesignator=RJ1_Conn1_5 NewDesignator=RJ1_Conn6
Change Component Designator: OldDesignator=RJ1_Conn1_6 NewDesignator=RJ1_Conn7
Change Component Designator: OldDesignator=RJ1_Conn1_7 NewDesignator=RJ1_Conn8
Change Component Designator: OldDesignator=RJ2_Conn1_1 NewDesignator=RJ2_Conn2
Change Component Designator: OldDesignator=RJ2_Conn1_2 NewDesignator=RJ2_Conn3
Change Component Designator: OldDesignator=RJ2_Conn1_3 NewDesignator=RJ2_Conn4
Change Component Designator: OldDesignator=RJ2_Conn1_4 NewDesignator=RJ2_Conn5
Change Component Designator: OldDesignator=RJ2_Conn1_5 NewDesignator=RJ2_Conn6
Change Component Designator: OldDesignator=RJ2_Conn1_6 NewDesignator=RJ2_Conn7
Change Component Designator: OldDesignator=RJ2_Conn1_7 NewDesignator=RJ2_Conn8
Added Pin To Net: NetName=+5VGNDB_Conn6 Pin=DB1_Conn6-7
Added Pin To Net: NetName=-5VGNDB_Conn6 Pin=DB1_Conn6-8
Added Pin To Net: NetName=-5VGNDB_Conn6 Pin=DB1_Conn6-9
Added Pin To Net: NetName=+5VB_Conn7 Pin=DB1_Conn7-1
Added Pin To Net: NetName=+5VB_Conn7 Pin=DB1_Conn7-2
Added Pin To Net: NetName=-5VB_Conn7 Pin=DB1_Conn7-4
Added Pin To Net: NetName=-5VB_Conn7 Pin=DB1_Conn7-5
Added Pin To Net: NetName=+5VGNDB_Conn7 Pin=DB1_Conn7-6
Added Pin To Net: NetName=+5VGNDB_Conn7 Pin=DB1_Conn7-7
Added Pin To Net: NetName=-5VGNDB_Conn7 Pin=DB1_Conn7-8
Added Pin To Net: NetName=-5VGNDB_Conn7 Pin=DB1_Conn7-9
Added Pin To Net: NetName=+5VB_Conn8 Pin=DB1_Conn8-1
Added Pin To Net: NetName=+5VB_Conn8 Pin=DB1_Conn8-2
Added Pin To Net: NetName=-5VB_Conn8 Pin=DB1_Conn8-4
Added Pin To Net: NetName=-5VB_Conn8 Pin=DB1_Conn8-5
Added Pin To Net: NetName=+5VGNDB_Conn8 Pin=DB1_Conn8-6
Added Pin To Net: NetName=+5VGNDB_Conn8 Pin=DB1_Conn8-7
Added Pin To Net: NetName=-5VGNDB_Conn8 Pin=DB1_Conn8-8
Added Pin To Net: NetName=-5VGNDB_Conn8 Pin=DB1_Conn8-9
Added Pin To Net: NetName=+5VA_Conn2 Pin=DB2_Conn2-1
Added Pin To Net: NetName=+5VA_Conn2 Pin=DB2_Conn2-2
Added Pin To Net: NetName=-5VA_Conn2 Pin=DB2_Conn2-4
Added Pin To Net: NetName=-5VA_Conn2 Pin=DB2_Conn2-5
Added Pin To Net: NetName=+5VGNDA_Conn2 Pin=DB2_Conn2-6
Added Pin To Net: NetName=+5VGNDA_Conn2 Pin=DB2_Conn2-7
Added Pin To Net: NetName=-5VGNDA_Conn2 Pin=DB2_Conn2-8
Added Pin To Net: NetName=-5VGNDA_Conn2 Pin=DB2_Conn2-9
Added Pin To Net: NetName=+5VA_Conn3 Pin=DB2_Conn3-1
Added Pin To Net: NetName=+5VA_Conn3 Pin=DB2_Conn3-2
Added Pin To Net: NetName=-5VA_Conn3 Pin=DB2_Conn3-4
Added Pin To Net: NetName=-5VA_Conn3 Pin=DB2_Conn3-5
Added Pin To Net: NetName=+5VGNDA_Conn3 Pin=DB2_Conn3-6
Added Pin To Net: NetName=+5VGNDA_Conn3 Pin=DB2_Conn3-7
Added Pin To Net: NetName=-5VGNDA_Conn3 Pin=DB2_Conn3-8
Added Pin To Net: NetName=-5VGNDA_Conn3 Pin=DB2_Conn3-9
Added Pin To Net: NetName=+5VA_Conn4 Pin=DB2_Conn4-1
Added Pin To Net: NetName=+5VA_Conn4 Pin=DB2_Conn4-2
Added Pin To Net: NetName=-5VA_Conn4 Pin=DB2_Conn4-4
Added Pin To Net: NetName=-5VA_Conn4 Pin=DB2_Conn4-5
Added Pin To Net: NetName=+5VGNDA_Conn4 Pin=DB2_Conn4-6
Added Pin To Net: NetName=+5VGNDA_Conn4 Pin=DB2_Conn4-7
Added Pin To Net: NetName=-5VGNDA_Conn4 Pin=DB2_Conn4-8
Added Pin To Net: NetName=-5VGNDA_Conn4 Pin=DB2_Conn4-9
Added Pin To Net: NetName=+5VA_Conn5 Pin=DB2_Conn5-1
Added Pin To Net: NetName=+5VA_Conn5 Pin=DB2_Conn5-2
Added Pin To Net: NetName=-5VA_Conn5 Pin=DB2_Conn5-4
Added Pin To Net: NetName=-5VA_Conn5 Pin=DB2_Conn5-5
Added Pin To Net: NetName=+5VGNDA_Conn5 Pin=DB2_Conn5-6
Added Pin To Net: NetName=+5VGNDA_Conn5 Pin=DB2_Conn5-7
Added Pin To Net: NetName=-5VGNDA_Conn5 Pin=DB2_Conn5-8
Added Pin To Net: NetName=-5VGNDA_Conn5 Pin=DB2_Conn5-9
Added Pin To Net: NetName=+5VA_Conn6 Pin=DB2_Conn6-1
Added Pin To Net: NetName=+5VA_Conn6 Pin=DB2_Conn6-2
Added Pin To Net: NetName=-5VA_Conn6 Pin=DB2_Conn6-4
Added Pin To Net: NetName=-5VA_Conn6 Pin=DB2_Conn6-5
Added Pin To Net: NetName=+5VGNDA_Conn6 Pin=DB2_Conn6-6
Added Pin To Net: NetName=+5VGNDA_Conn6 Pin=DB2_Conn6-7
Added Pin To Net: NetName=-5VGNDA_Conn6 Pin=DB2_Conn6-8
Added Pin To Net: NetName=-5VGNDA_Conn6 Pin=DB2_Conn6-9
Added Pin To Net: NetName=+5VA_Conn7 Pin=DB2_Conn7-1
Added Pin To Net: NetName=+5VA_Conn7 Pin=DB2_Conn7-2
Added Pin To Net: NetName=-5VA_Conn7 Pin=DB2_Conn7-4
Added Pin To Net: NetName=-5VA_Conn7 Pin=DB2_Conn7-5
Added Pin To Net: NetName=+5VGNDA_Conn7 Pin=DB2_Conn7-6
Added Pin To Net: NetName=+5VGNDA_Conn7 Pin=DB2_Conn7-7
Added Pin To Net: NetName=-5VGNDA_Conn7 Pin=DB2_Conn7-8
Added Pin To Net: NetName=-5VGNDA_Conn7 Pin=DB2_Conn7-9
Added Pin To Net: NetName=+5VA_Conn8 Pin=DB2_Conn8-1
Added Pin To Net: NetName=+5VA_Conn8 Pin=DB2_Conn8-2
Added Pin To Net: NetName=-5VA_Conn8 Pin=DB2_Conn8-4
Added Pin To Net: NetName=-5VA_Conn8 Pin=DB2_Conn8-5
Added Pin To Net: NetName=+5VGNDA_Conn8 Pin=DB2_Conn8-6
Added Pin To Net: NetName=+5VGNDA_Conn8 Pin=DB2_Conn8-7
Added Pin To Net: NetName=-5VGNDA_Conn8 Pin=DB2_Conn8-8
Added Pin To Net: NetName=-5VGNDA_Conn8 Pin=DB2_Conn8-9
Added Pin To Net: NetName=48V Pin=J1_Conn2-0
Added Pin To Net: NetName=48V Pin=J1_Conn2-1
Added Pin To Net: NetName=+9V Pin=J1_Conn2-2
Added Pin To Net: NetName=GND Pin=J1_Conn2-3
Added Pin To Net: NetName=SCLNET Pin=J1_Conn2-4
Added Pin To Net: NetName=SDANET Pin=J1_Conn2-5
Added Pin To Net: NetName=GND Pin=J1_Conn2-6
Added Pin To Net: NetName=NetJ1_Conn2_7 Pin=J1_Conn2-7
Added Pin To Net: NetName=NetJ1_Conn2_8 Pin=J1_Conn2-8
Added Pin To Net: NetName=NetJ1_Conn2_9 Pin=J1_Conn2-9
Added Pin To Net: NetName=NetJ1_Conn2_10 Pin=J1_Conn2-10
Added Pin To Net: NetName=NetJ1_Conn2_11 Pin=J1_Conn2-11
Added Pin To Net: NetName=GND Pin=J1_Conn2-12
Added Pin To Net: NetName=GND Pin=J1_Conn2-13
Added Pin To Net: NetName=GND Pin=J1_Conn2-14
Added Pin To Net: NetName=GND Pin=J1_Conn2-15
Added Pin To Net: NetName=GND Pin=J1_Conn2-16
Added Pin To Net: NetName=RXA2 Pin=J1_Conn2-17
Added Pin To Net: NetName=TXA2 Pin=J1_Conn2-18
Added Pin To Net: NetName=GND Pin=J1_Conn2-19
Added Pin To Net: NetName=+5VB_Conn2 Pin=J1_Conn2-20
Added Pin To Net: NetName=+5VB_Conn2 Pin=J1_Conn2-21
Added Pin To Net: NetName=+5VGNDB_Conn2 Pin=J1_Conn2-22
Added Pin To Net: NetName=+5VGNDB_Conn2 Pin=J1_Conn2-23
Added Pin To Net: NetName=-5VGNDB_Conn2 Pin=J1_Conn2-24
Added Pin To Net: NetName=-5VB_Conn2 Pin=J1_Conn2-25
Added Pin To Net: NetName=+5VA_Conn2 Pin=J1_Conn2-26
Added Pin To Net: NetName=+5VA_Conn2 Pin=J1_Conn2-27
Added Pin To Net: NetName=+5VGNDA_Conn2 Pin=J1_Conn2-28
Added Pin To Net: NetName=+5VGNDA_Conn2 Pin=J1_Conn2-29
Added Pin To Net: NetName=-5VGNDA_Conn2 Pin=J1_Conn2-30
Added Pin To Net: NetName=-5VA_Conn2 Pin=J1_Conn2-31
Added Pin To Net: NetName=48V Pin=J1_Conn2-32
Added Pin To Net: NetName=48V Pin=J1_Conn2-33
Added Pin To Net: NetName=+9V Pin=J1_Conn2-34
Added Pin To Net: NetName=GND Pin=J1_Conn2-35
Added Pin To Net: NetName=SCLNET Pin=J1_Conn2-36
Added Pin To Net: NetName=SDANET Pin=J1_Conn2-37
Added Pin To Net: NetName=GND Pin=J1_Conn2-38
Added Pin To Net: NetName=NetJ1_Conn2_39 Pin=J1_Conn2-39
Added Pin To Net: NetName=NetJ1_Conn2_40 Pin=J1_Conn2-40
Added Pin To Net: NetName=NetJ1_Conn2_41 Pin=J1_Conn2-41
Added Pin To Net: NetName=NetJ1_Conn2_42 Pin=J1_Conn2-42
Added Pin To Net: NetName=TXB2 Pin=J1_Conn2-43
Added Pin To Net: NetName=RXB2 Pin=J1_Conn2-44
Added Pin To Net: NetName=GND Pin=J1_Conn2-45
Added Pin To Net: NetName=NetJ1_Conn2_46 Pin=J1_Conn2-46
Added Pin To Net: NetName=NetJ1_Conn2_47 Pin=J1_Conn2-47
Added Pin To Net: NetName=NetJ1_Conn2_48 Pin=J1_Conn2-48
Added Pin To Net: NetName=NetJ1_Conn2_49 Pin=J1_Conn2-49
Added Pin To Net: NetName=NetJ1_Conn2_50 Pin=J1_Conn2-50
Added Pin To Net: NetName=GND Pin=J1_Conn2-51
Added Pin To Net: NetName=+5VB_Conn2 Pin=J1_Conn2-52
Added Pin To Net: NetName=+5VB_Conn2 Pin=J1_Conn2-53
Added Pin To Net: NetName=+5VGNDB_Conn2 Pin=J1_Conn2-54
Added Pin To Net: NetName=+5VGNDB_Conn2 Pin=J1_Conn2-55
Added Pin To Net: NetName=-5VGNDB_Conn2 Pin=J1_Conn2-56
Added Pin To Net: NetName=-5VB_Conn2 Pin=J1_Conn2-57
Added Pin To Net: NetName=+5VA_Conn2 Pin=J1_Conn2-58
Added Pin To Net: NetName=+5VA_Conn2 Pin=J1_Conn2-59
Added Pin To Net: NetName=+5VGNDA_Conn2 Pin=J1_Conn2-60
Added Pin To Net: NetName=+5VGNDA_Conn2 Pin=J1_Conn2-61
Added Pin To Net: NetName=-5VGNDA_Conn2 Pin=J1_Conn2-62
Added Pin To Net: NetName=-5VA_Conn2 Pin=J1_Conn2-63
Added Pin To Net: NetName=48V Pin=J1_Conn3-0
Added Pin To Net: NetName=48V Pin=J1_Conn3-1
Added Pin To Net: NetName=+9V Pin=J1_Conn3-2
Added Pin To Net: NetName=GND Pin=J1_Conn3-3
Added Pin To Net: NetName=SCLNET Pin=J1_Conn3-4
Added Pin To Net: NetName=SDANET Pin=J1_Conn3-5
Added Pin To Net: NetName=GND Pin=J1_Conn3-6
Added Pin To Net: NetName=NetJ1_Conn3_7 Pin=J1_Conn3-7
Added Pin To Net: NetName=NetJ1_Conn3_8 Pin=J1_Conn3-8
Added Pin To Net: NetName=NetJ1_Conn3_9 Pin=J1_Conn3-9
Added Pin To Net: NetName=NetJ1_Conn3_10 Pin=J1_Conn3-10
Added Pin To Net: NetName=NetJ1_Conn3_11 Pin=J1_Conn3-11
Added Pin To Net: NetName=GND Pin=J1_Conn3-12
Added Pin To Net: NetName=GND Pin=J1_Conn3-13
Added Pin To Net: NetName=GND Pin=J1_Conn3-14
Added Pin To Net: NetName=GND Pin=J1_Conn3-15
Added Pin To Net: NetName=GND Pin=J1_Conn3-16
Added Pin To Net: NetName=RXA3 Pin=J1_Conn3-17
Added Pin To Net: NetName=TXA3 Pin=J1_Conn3-18
Added Pin To Net: NetName=GND Pin=J1_Conn3-19
Added Pin To Net: NetName=+5VB_Conn3 Pin=J1_Conn3-20
Added Pin To Net: NetName=+5VB_Conn3 Pin=J1_Conn3-21
Added Pin To Net: NetName=+5VGNDB_Conn3 Pin=J1_Conn3-22
Added Pin To Net: NetName=+5VGNDB_Conn3 Pin=J1_Conn3-23
Added Pin To Net: NetName=-5VGNDB_Conn3 Pin=J1_Conn3-24
Added Pin To Net: NetName=-5VB_Conn3 Pin=J1_Conn3-25
Added Pin To Net: NetName=+5VA_Conn3 Pin=J1_Conn3-26
Added Pin To Net: NetName=+5VA_Conn3 Pin=J1_Conn3-27
Added Pin To Net: NetName=+5VGNDA_Conn3 Pin=J1_Conn3-28
Added Pin To Net: NetName=+5VGNDA_Conn3 Pin=J1_Conn3-29
Added Pin To Net: NetName=-5VGNDA_Conn3 Pin=J1_Conn3-30
Added Pin To Net: NetName=-5VA_Conn3 Pin=J1_Conn3-31
Added Pin To Net: NetName=48V Pin=J1_Conn3-32
Added Pin To Net: NetName=48V Pin=J1_Conn3-33
Added Pin To Net: NetName=+9V Pin=J1_Conn3-34
Added Pin To Net: NetName=GND Pin=J1_Conn3-35
Added Pin To Net: NetName=SCLNET Pin=J1_Conn3-36
Added Pin To Net: NetName=SDANET Pin=J1_Conn3-37
Added Pin To Net: NetName=GND Pin=J1_Conn3-38
Added Pin To Net: NetName=NetJ1_Conn3_39 Pin=J1_Conn3-39
Added Pin To Net: NetName=NetJ1_Conn3_40 Pin=J1_Conn3-40
Added Pin To Net: NetName=NetJ1_Conn3_41 Pin=J1_Conn3-41
Added Pin To Net: NetName=NetJ1_Conn3_42 Pin=J1_Conn3-42
Added Pin To Net: NetName=TXB3 Pin=J1_Conn3-43
Added Pin To Net: NetName=RXB3 Pin=J1_Conn3-44
Added Pin To Net: NetName=GND Pin=J1_Conn3-45
Added Pin To Net: NetName=NetJ1_Conn3_46 Pin=J1_Conn3-46
Added Pin To Net: NetName=NetJ1_Conn3_47 Pin=J1_Conn3-47
Added Pin To Net: NetName=NetJ1_Conn3_48 Pin=J1_Conn3-48
Added Pin To Net: NetName=NetJ1_Conn3_49 Pin=J1_Conn3-49
Added Pin To Net: NetName=NetJ1_Conn3_50 Pin=J1_Conn3-50
Added Pin To Net: NetName=GND Pin=J1_Conn3-51
Added Pin To Net: NetName=+5VB_Conn3 Pin=J1_Conn3-52
Added Pin To Net: NetName=+5VB_Conn3 Pin=J1_Conn3-53
Added Pin To Net: NetName=+5VGNDB_Conn3 Pin=J1_Conn3-54
Added Pin To Net: NetName=+5VGNDB_Conn3 Pin=J1_Conn3-55
Added Pin To Net: NetName=-5VGNDB_Conn3 Pin=J1_Conn3-56
Added Pin To Net: NetName=-5VB_Conn3 Pin=J1_Conn3-57
Added Pin To Net: NetName=+5VA_Conn3 Pin=J1_Conn3-58
Added Pin To Net: NetName=+5VA_Conn3 Pin=J1_Conn3-59
Added Pin To Net: NetName=+5VGNDA_Conn3 Pin=J1_Conn3-60
Added Pin To Net: NetName=+5VGNDA_Conn3 Pin=J1_Conn3-61
Added Pin To Net: NetName=-5VGNDA_Conn3 Pin=J1_Conn3-62
Added Pin To Net: NetName=-5VA_Conn3 Pin=J1_Conn3-63
Added Pin To Net: NetName=48V Pin=J1_Conn4-0
Added Pin To Net: NetName=48V Pin=J1_Conn4-1
Added Pin To Net: NetName=+9V Pin=J1_Conn4-2
Added Pin To Net: NetName=GND Pin=J1_Conn4-3
Added Pin To Net: NetName=SCLNET Pin=J1_Conn4-4
Added Pin To Net: NetName=SDANET Pin=J1_Conn4-5
Added Pin To Net: NetName=GND Pin=J1_Conn4-6
Added Pin To Net: NetName=NetJ1_Conn4_7 Pin=J1_Conn4-7
Added Pin To Net: NetName=NetJ1_Conn4_8 Pin=J1_Conn4-8
Added Pin To Net: NetName=NetJ1_Conn4_9 Pin=J1_Conn4-9
Added Pin To Net: NetName=NetJ1_Conn4_10 Pin=J1_Conn4-10
Added Pin To Net: NetName=NetJ1_Conn4_11 Pin=J1_Conn4-11
Added Pin To Net: NetName=GND Pin=J1_Conn4-12
Added Pin To Net: NetName=GND Pin=J1_Conn4-13
Added Pin To Net: NetName=GND Pin=J1_Conn4-14
Added Pin To Net: NetName=GND Pin=J1_Conn4-15
Added Pin To Net: NetName=GND Pin=J1_Conn4-16
Added Pin To Net: NetName=RXA4 Pin=J1_Conn4-17
Added Pin To Net: NetName=TXA4 Pin=J1_Conn4-18
Added Pin To Net: NetName=GND Pin=J1_Conn4-19
Added Pin To Net: NetName=+5VB_Conn4 Pin=J1_Conn4-20
Added Pin To Net: NetName=+5VB_Conn4 Pin=J1_Conn4-21
Added Pin To Net: NetName=+5VGNDB_Conn4 Pin=J1_Conn4-22
Added Pin To Net: NetName=+5VGNDB_Conn4 Pin=J1_Conn4-23
Added Pin To Net: NetName=-5VGNDB_Conn4 Pin=J1_Conn4-24
Added Pin To Net: NetName=-5VB_Conn4 Pin=J1_Conn4-25
Added Pin To Net: NetName=+5VA_Conn4 Pin=J1_Conn4-26
Added Pin To Net: NetName=+5VA_Conn4 Pin=J1_Conn4-27
Added Pin To Net: NetName=+5VGNDA_Conn4 Pin=J1_Conn4-28
Added Pin To Net: NetName=+5VGNDA_Conn4 Pin=J1_Conn4-29
Added Pin To Net: NetName=-5VGNDA_Conn4 Pin=J1_Conn4-30
Added Pin To Net: NetName=-5VA_Conn4 Pin=J1_Conn4-31
Added Pin To Net: NetName=48V Pin=J1_Conn4-32
Added Pin To Net: NetName=48V Pin=J1_Conn4-33
Added Pin To Net: NetName=+9V Pin=J1_Conn4-34
Added Pin To Net: NetName=GND Pin=J1_Conn4-35
Added Pin To Net: NetName=SCLNET Pin=J1_Conn4-36
Added Pin To Net: NetName=SDANET Pin=J1_Conn4-37
Added Pin To Net: NetName=GND Pin=J1_Conn4-38
Added Pin To Net: NetName=NetJ1_Conn4_39 Pin=J1_Conn4-39
Added Pin To Net: NetName=NetJ1_Conn4_40 Pin=J1_Conn4-40
Added Pin To Net: NetName=NetJ1_Conn4_41 Pin=J1_Conn4-41
Added Pin To Net: NetName=NetJ1_Conn4_42 Pin=J1_Conn4-42
Added Pin To Net: NetName=TXB4 Pin=J1_Conn4-43
Added Pin To Net: NetName=RXB4 Pin=J1_Conn4-44
Added Pin To Net: NetName=GND Pin=J1_Conn4-45
Added Pin To Net: NetName=NetJ1_Conn4_46 Pin=J1_Conn4-46
Added Pin To Net: NetName=NetJ1_Conn4_47 Pin=J1_Conn4-47
Added Pin To Net: NetName=NetJ1_Conn4_48 Pin=J1_Conn4-48
Added Pin To Net: NetName=NetJ1_Conn4_49 Pin=J1_Conn4-49
Added Pin To Net: NetName=NetJ1_Conn4_50 Pin=J1_Conn4-50
Added Pin To Net: NetName=GND Pin=J1_Conn4-51
Added Pin To Net: NetName=+5VB_Conn4 Pin=J1_Conn4-52
Added Pin To Net: NetName=+5VB_Conn4 Pin=J1_Conn4-53
Added Pin To Net: NetName=+5VGNDB_Conn4 Pin=J1_Conn4-54
Added Pin To Net: NetName=+5VGNDB_Conn4 Pin=J1_Conn4-55
Added Pin To Net: NetName=-5VGNDB_Conn4 Pin=J1_Conn4-56
Added Pin To Net: NetName=-5VB_Conn4 Pin=J1_Conn4-57
Added Pin To Net: NetName=+5VA_Conn4 Pin=J1_Conn4-58
