Change Component Designator: OldDesignator=C8_LV1_1 NewDesignator=C8_LV3
Change Component Designator: OldDesignator=C8_LV1_2 NewDesignator=C8_LV4
Change Component Designator: OldDesignator=C9_LV1_1 NewDesignator=C9_LV3
Change Component Designator: OldDesignator=C9_LV1_2 NewDesignator=C9_LV4
Change Component Designator: OldDesignator=C10_LV1_1 NewDesignator=C10_LV3
Change Component Designator: OldDesignator=C10_LV1_2 NewDesignator=C10_LV4
Change Component Designator: OldDesignator=C11_LV1_1 NewDesignator=C11_LV3
Change Component Designator: OldDesignator=C11_LV1_2 NewDesignator=C11_LV4
Change Component Designator: OldDesignator=C12_LV1_1 NewDesignator=C12_LV3
Change Component Designator: OldDesignator=C12_LV1_2 NewDesignator=C12_LV4
Change Component Designator: OldDesignator=C13_LV1_1 NewDesignator=C13_LV3
Change Component Designator: OldDesignator=C13_LV1_2 NewDesignator=C13_LV4
Change Component Designator: OldDesignator=C30_LV1_1 NewDesignator=C30_LV3
Change Component Designator: OldDesignator=C30_LV1_2 NewDesignator=C30_LV4
Change Component Designator: OldDesignator=D6_LV1_1 NewDesignator=D6_LV3
Change Component Designator: OldDesignator=D6_LV1_2 NewDesignator=D6_LV4
Change Component Designator: OldDesignator=D7_LV1_1 NewDesignator=D7_LV3
Change Component Designator: OldDesignator=D7_LV1_2 NewDesignator=D7_LV4
Change Component Designator: OldDesignator=D8_LV1_1 NewDesignator=D8_LV3
Change Component Designator: OldDesignator=D8_LV1_2 NewDesignator=D8_LV4
Change Component Designator: OldDesignator=D10_LV1_1 NewDesignator=D10_LV3
Change Component Designator: OldDesignator=D10_LV1_2 NewDesignator=D10_LV4
Change Component Designator: OldDesignator=DTVS1_LV1_1 NewDesignator=DTVS1_LV3
Change Component Designator: OldDesignator=DTVS1_LV1_2 NewDesignator=DTVS1_LV4
Change Component Designator: OldDesignator=F2_LV1_1 NewDesignator=F2_LV3
Change Component Designator: OldDesignator=F2_LV1_2 NewDesignator=F2_LV4
Change Component Designator: OldDesignator=LT2_LV1_1 NewDesignator=LT2_LV3
Change Component Designator: OldDesignator=LT2_LV1_2 NewDesignator=LT2_LV4
Change Component Designator: OldDesignator=Q2_LV1_1 NewDesignator=Q2_LV3
Change Component Designator: OldDesignator=Q2_LV1_2 NewDesignator=Q2_LV4
Change Component Designator: OldDesignator=R5_LV1_1 NewDesignator=R5_LV3
Change Component Designator: OldDesignator=R5_LV1_2 NewDesignator=R5_LV4
Change Component Designator: OldDesignator=R6_LV1_1 NewDesignator=R6_LV3
Change Component Designator: OldDesignator=R6_LV1_2 NewDesignator=R6_LV4
Change Component Designator: OldDesignator=R7_LV1_1 NewDesignator=R7_LV3
Change Component Designator: OldDesignator=R7_LV1_2 NewDesignator=R7_LV4
Change Component Designator: OldDesignator=R8_LV1_1 NewDesignator=R8_LV3
Change Component Designator: OldDesignator=R8_LV1_2 NewDesignator=R8_LV4
Change Component Designator: OldDesignator=Rfb2_LV1_1 NewDesignator=Rfb2_LV3
Change Component Designator: OldDesignator=Rfb2_LV1_2 NewDesignator=Rfb2_LV4
Change Component Designator: OldDesignator=Rref2_LV1_1 NewDesignator=Rref2_LV3
Change Component Designator: OldDesignator=Rref2_LV1_2 NewDesignator=Rref2_LV4
Change Component Designator: OldDesignator=Rsense2_LV1_1 NewDesignator=Rsense2_LV3
Change Component Designator: OldDesignator=Rsense2_LV1_2 NewDesignator=Rsense2_LV4
Change Component Designator: OldDesignator=Rtc2_LV1_1 NewDesignator=Rtc2_LV3
Change Component Designator: OldDesignator=Rtc2_LV1_2 NewDesignator=Rtc2_LV4
Change Component Designator: OldDesignator=T2_LV1_1 NewDesignator=T2_LV3
Change Component Designator: OldDesignator=T2_LV1_2 NewDesignator=T2_LV4
Change Component Designator: OldDesignator=U2_LV1_1 NewDesignator=U2_LV3
Change Component Designator: OldDesignator=U2_LV1_2 NewDesignator=U2_LV4
Added Pin To Net: NetName=NetC12_LV3_1 Pin=LT2_LV3-2
Added Pin To Net: NetName=NetC11_LV3_2 Pin=LT2_LV3-3
Added Pin To Net: NetName=GND Pin=LT2_LV3-4
Added Pin To Net: NetName=GND Pin=LT2_LV3-4
Added Pin To Net: NetName=SW_LV3 Pin=LT2_LV3-5
Added Pin To Net: NetName=NetLT2_LV3_6 Pin=LT2_LV3-6
Added Pin To Net: NetName=NetLT2_LV3_7 Pin=LT2_LV3-7
Added Pin To Net: NetName=NetLT2_LV3_8 Pin=LT2_LV3-8
Added Pin To Net: NetName=NetLT2_LV4_1 Pin=LT2_LV4-1
Added Pin To Net: NetName=NetC12_LV4_1 Pin=LT2_LV4-2
Added Pin To Net: NetName=NetC11_LV4_2 Pin=LT2_LV4-3
Added Pin To Net: NetName=GND Pin=LT2_LV4-4
Added Pin To Net: NetName=GND Pin=LT2_LV4-4
Added Pin To Net: NetName=SW_LV4 Pin=LT2_LV4-5
Added Pin To Net: NetName=NetLT2_LV4_6 Pin=LT2_LV4-6
Added Pin To Net: NetName=NetLT2_LV4_7 Pin=LT2_LV4-7
Added Pin To Net: NetName=NetLT2_LV4_8 Pin=LT2_LV4-8
Added Pin To Net: NetName=NetQ2_LV3_1 Pin=Q2_LV3-1
Added Pin To Net: NetName=GND Pin=Q2_LV3-2
Added Pin To Net: NetName=NetLT2_LV3_1 Pin=Q2_LV3-3
Added Pin To Net: NetName=NetQ2_LV4_1 Pin=Q2_LV4-1
Added Pin To Net: NetName=GND Pin=Q2_LV4-2
Added Pin To Net: NetName=NetLT2_LV4_1 Pin=Q2_LV4-3
Added Pin To Net: NetName=GND Pin=R5_LV3-1
Added Pin To Net: NetName=NetR5_LV3_2 Pin=R5_LV3-2
Added Pin To Net: NetName=GND Pin=R5_LV4-1
Added Pin To Net: NetName=NetR5_LV4_2 Pin=R5_LV4-2
Added Pin To Net: NetName=NetLT2_LV3_1 Pin=R6_LV3-1
Added Pin To Net: NetName=NetC11_LV3_2 Pin=R6_LV3-2
Added Pin To Net: NetName=NetLT2_LV4_1 Pin=R6_LV4-1
Added Pin To Net: NetName=NetC11_LV4_2 Pin=R6_LV4-2
Added Pin To Net: NetName=GND Pin=R7_LV3-1
Added Pin To Net: NetName=NetLT2_LV3_1 Pin=R7_LV3-2
Added Pin To Net: NetName=GND Pin=R7_LV4-1
Added Pin To Net: NetName=NetLT2_LV4_1 Pin=R7_LV4-2
Added Pin To Net: NetName=SW_LV3 Pin=R8_LV3-1
Added Pin To Net: NetName=NetC13_LV3_1 Pin=R8_LV3-2
Added Pin To Net: NetName=SW_LV4 Pin=R8_LV4-1
Added Pin To Net: NetName=NetC13_LV4_1 Pin=R8_LV4-2
Added Pin To Net: NetName=NetLT2_LV3_6 Pin=Rfb2_LV3-1
Added Pin To Net: NetName=SW_LV3 Pin=Rfb2_LV3-2
Added Pin To Net: NetName=NetLT2_LV4_6 Pin=Rfb2_LV4-1
Added Pin To Net: NetName=SW_LV4 Pin=Rfb2_LV4-2
Added Pin To Net: NetName=NetLT2_LV3_7 Pin=Rref2_LV3-1
Added Pin To Net: NetName=GND Pin=Rref2_LV3-2
Added Pin To Net: NetName=NetLT2_LV4_7 Pin=Rref2_LV4-1
Added Pin To Net: NetName=GND Pin=Rref2_LV4-2
Added Pin To Net: NetName=NetRsense2_LV3_1 Pin=Rsense2_LV3-1
Added Pin To Net: NetName=NetF2_LV3_1 Pin=Rsense2_LV3-2
Added Pin To Net: NetName=NetRsense2_LV4_1 Pin=Rsense2_LV4-1
Added Pin To Net: NetName=NetF2_LV4_1 Pin=Rsense2_LV4-2
Added Pin To Net: NetName=NetLT2_LV3_8 Pin=Rtc2_LV3-1
Added Pin To Net: NetName=NetLT2_LV3_7 Pin=Rtc2_LV3-2
Added Pin To Net: NetName=NetLT2_LV4_8 Pin=Rtc2_LV4-1
Added Pin To Net: NetName=NetLT2_LV4_7 Pin=Rtc2_LV4-2
Added Pin To Net: NetName=SW_LV3 Pin=T2_LV3-3
Added Pin To Net: NetName=NetC11_LV3_2 Pin=T2_LV3-5
Added Pin To Net: NetName=NetD7_LV3_1 Pin=T2_LV3-6
Added Pin To Net: NetName=NetD7_LV3_1 Pin=T2_LV3-7
Added Pin To Net: NetName=GNDOUT_LV3 Pin=T2_LV3-9
Added Pin To Net: NetName=GNDOUT_LV3 Pin=T2_LV3-10
Added Pin To Net: NetName=SW_LV4 Pin=T2_LV4-3
Added Pin To Net: NetName=NetC11_LV4_2 Pin=T2_LV4-5
Added Pin To Net: NetName=NetD7_LV4_1 Pin=T2_LV4-6
Added Pin To Net: NetName=NetD7_LV4_1 Pin=T2_LV4-7
Added Pin To Net: NetName=GNDOUT_LV4 Pin=T2_LV4-9
Added Pin To Net: NetName=GNDOUT_LV4 Pin=T2_LV4-10
Added Pin To Net: NetName=NetR5_LV3_2 Pin=U2_LV3-1
Added Pin To Net: NetName=GND Pin=U2_LV3-2
Added Pin To Net: NetName=NetRsense2_LV3_1 Pin=U2_LV3-3
Added Pin To Net: NetName=NetF2_LV3_1 Pin=U2_LV3-4
Added Pin To Net: NetName=+5V Pin=U2_LV3-5
Added Pin To Net: NetName=NetR5_LV4_2 Pin=U2_LV4-1
Added Pin To Net: NetName=GND Pin=U2_LV4-2
Added Pin To Net: NetName=NetRsense2_LV4_1 Pin=U2_LV4-3
Added Pin To Net: NetName=NetF2_LV4_1 Pin=U2_LV4-4
Added Pin To Net: NetName=+5V Pin=U2_LV4-5
Added Member To Class: ClassName=LV3 Member=Component C8_LV3 (C8) Cap Semi
Added Member To Class: ClassName=LV4 Member=Component C8_LV4 (C8) Cap Semi
Added Member To Class: ClassName=LV3 Member=Component C9_LV3 (C9) Cap Semi
Added Member To Class: ClassName=LV4 Member=Component C9_LV4 (C9) Cap Semi
Added Member To Class: ClassName=LV3 Member=Component C10_LV3 (C10) Cap Semi
Added Member To Class: ClassName=LV4 Member=Component C10_LV4 (C10) Cap Semi
Added Member To Class: ClassName=LV3 Member=Component C11_LV3 (C11) Cap Semi
Added Member To Class: ClassName=LV4 Member=Component C11_LV4 (C11) Cap Semi
Added Member To Class: ClassName=LV3 Member=Component C12_LV3 (C12) Cap Semi
Added Member To Class: ClassName=LV4 Member=Component C12_LV4 (C12) Cap Semi
Added Member To Class: ClassName=LV3 Member=Component C13_LV3 (C13) Cap Semi
Added Member To Class: ClassName=LV4 Member=Component C13_LV4 (C13) Cap Semi
Added Member To Class: ClassName=LV3 Member=Component C30_LV3 (C30) Cap Semi
Added Member To Class: ClassName=LV4 Member=Component C30_LV4 (C30) Cap Semi
Added Member To Class: ClassName=LV3 Member=Component D6_LV3 (D6) BZT52H-B5V6
Added Member To Class: ClassName=LV4 Member=Component D6_LV4 (D6) BZT52H-B5V6
Added Member To Class: ClassName=LV3 Member=Component D7_LV3 (D7) PDS1040L
Added Member To Class: ClassName=LV4 Member=Component D7_LV4 (D7) PDS1040L
Added Member To Class: ClassName=LV3 Member=Component D8_LV3 (D8) SMAJ30A
Added Member To Class: ClassName=LV4 Member=Component D8_LV4 (D8) SMAJ30A
Added Member To Class: ClassName=LV3 Member=Component D10_LV3 (D10) ES3B
Added Member To Class: ClassName=LV4 Member=Component D10_LV4 (D10) ES3B
Added Member To Class: ClassName=LV3 Member=Component DTVS1_LV3 (DTVS1) SMBJ24A-E3/52
Added Member To Class: ClassName=LV4 Member=Component DTVS1_LV4 (DTVS1) SMBJ24A-E3/52
Added Member To Class: ClassName=LV3 Member=Component F2_LV3 (F2) MF-MSMF075-2
Added Member To Class: ClassName=LV4 Member=Component F2_LV4 (F2) MF-MSMF075-2
Added Member To Class: ClassName=LV3 Member=Component LT2_LV3 (LT2) LT8302
Added Member To Class: ClassName=LV4 Member=Component LT2_LV4 (LT2) LT8302
Added Member To Class: ClassName=LV3 Member=Component Q2_LV3 (Q2) BSS131
Added Member To Class: ClassName=LV4 Member=Component Q2_LV4 (Q2) BSS131
Added Member To Class: ClassName=LV3 Member=Component R5_LV3 (R5) Res3
Added Member To Class: ClassName=LV4 Member=Component R5_LV4 (R5) Res3
Added Member To Class: ClassName=LV3 Member=Component R6_LV3 (R6) Res3
Added Member To Class: ClassName=LV4 Member=Component R6_LV4 (R6) Res3
Added Member To Class: ClassName=LV3 Member=Component R7_LV3 (R7) Res3
Added Member To Class: ClassName=LV4 Member=Component R7_LV4 (R7) Res3
Added Member To Class: ClassName=LV3 Member=Component R8_LV3 (R8) Res3
Added Member To Class: ClassName=LV4 Member=Component R8_LV4 (R8) Res3
Added Member To Class: ClassName=LV3 Member=Component Rfb2_LV3 (Rfb2) Res3
Added Member To Class: ClassName=LV4 Member=Component Rfb2_LV4 (Rfb2) Res3
Added Member To Class: ClassName=LV3 Member=Component Rref2_LV3 (Rref2) Res3
Added Member To Class: ClassName=LV4 Member=Component Rref2_LV4 (Rref2) Res3
Added Member To Class: ClassName=LV3 Member=Component Rsense2_LV3 (Rsense2) Rsense
Added Member To Class: ClassName=LV4 Member=Component Rsense2_LV4 (Rsense2) Rsense
Added Member To Class: ClassName=LV3 Member=Component Rtc2_LV3 (Rtc2) Res3
Added Member To Class: ClassName=LV4 Member=Component Rtc2_LV4 (Rtc2) Res3
Added Member To Class: ClassName=LV3 Member=Component T2_LV3 (T2) 36V
Added Member To Class: ClassName=LV4 Member=Component T2_LV4 (T2) 36V
Added Member To Class: ClassName=LV3 Member=Component U2_LV3 (U2) INA138
Added Member To Class: ClassName=LV4 Member=Component U2_LV4 (U2) INA138
